is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Внимательность (СК) (536_4),Дисциплинированность (СК) (593_4),Кропотливость (СК) (623_4),"Саморазвитие, обучаемость (СК) (604_4)","Личные установки и ценности, мировоззрение (2043_4)","Знание ПК, различных операционных систем, офисных программ (2286_33)","Восприятие, мышление, внимание, память (УСК) (1330_4)","Работа с заказами (заявками, запросами) клиентов (2858_33)",Коммуникабельность (СК) (617_4),Владение ПК и оргтехникой (2686_33)
False,0.0,Томская область,1,True,12000.0,18000.0,4159.1431,3250.1913,1928.0796,1707.7276,1459.8317,1101.7598,977.8118,908.9518,867.6358,853.8638,785.0038
False,0.0,Томская область,1,False,12000.0,35000.0,8087.2226,6319.8164,3749.0436,3320.5815,2838.5616,2142.3106,1901.3007,1767.4063,1687.0696,1660.2907,1526.3963
False,0.0,Кемеровская область,1,True,12000.0,20000.0,4621.2701,3611.3236,2142.3106,1897.4751,1622.0352,1224.1775,1086.4575,1009.9464,964.0398,948.7376,872.2265
False,0.0,Кемеровская область,1,False,12000.0,40000.0,9242.5402,7222.6473,4284.6213,3794.9503,3244.0704,2448.355,2172.9151,2019.8929,1928.0796,1897.4751,1744.4529
False,0.0,Курская область,2,True,12972.0,12972.0,2997.3558,2342.3045,1389.5027,1230.7024,1052.052,794.0015,704.6764,655.0513,625.2762,615.3512,565.7261
False,0.0,Курская область,2,False,10000.0,30000.0,6931.9051,5416.9855,3213.466,2846.2127,2433.0528,1836.2663,1629.6863,1514.9197,1446.0597,1423.1064,1308.3397
False,0.0,Амурская область,1,True,15000.0,15000.0,3465.9526,2708.4927,1606.733,1423.1064,1216.5264,918.1331,814.8432,757.4598,723.0298,711.5532,654.1699
False,0.0,Амурская область,1,False,10000.0,40000.0,9242.5402,7222.6473,4284.6213,3794.9503,3244.0704,2448.355,2172.9151,2019.8929,1928.0796,1897.4751,1744.4529
False,0.0,Тюменская область,1,True,10000.0,21712.5,5016.9663,3920.5432,2325.746,2059.9464,1760.922,1328.9977,1179.4855,1096.4231,1046.5857,1029.9732,946.9109
False,0.0,Тюменская область,1,False,10000.0,35000.0,8087.2226,6319.8164,3749.0436,3320.5815,2838.5616,2142.3106,1901.3007,1767.4063,1687.0696,1660.2907,1526.3963
False,0.0,Новгородская область,1,False,12972.0,30000.0,6931.9051,5416.9855,3213.466,2846.2127,2433.0528,1836.2663,1629.6863,1514.9197,1446.0597,1423.1064,1308.3397
False,0.0,Архангельская область,1,True,12972.0,20000.0,4621.2701,3611.3236,2142.3106,1897.4751,1622.0352,1224.1775,1086.4575,1009.9464,964.0398,948.7376,872.2265
False,0.0,Архангельская область,1,False,10000.0,40000.0,9242.5402,7222.6473,4284.6213,3794.9503,3244.0704,2448.355,2172.9151,2019.8929,1928.0796,1897.4751,1744.4529
False,0.0,Республика Хакасия,1,False,15000.0,30000.0,6931.9051,5416.9855,3213.466,2846.2127,2433.0528,1836.2663,1629.6863,1514.9197,1446.0597,1423.1064,1308.3397
False,0.0,Республика Северная Осетия,1,True,20000.0,20000.0,4621.2701,3611.3236,2142.3106,1897.4751,1622.0352,1224.1775,1086.4575,1009.9464,964.0398,948.7376,872.2265
