is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Аккуратность (СК) (575_4),"Личные установки и ценности, мировоззрение (2043_4)",Командность (СК) (1371_4),Пунктуальность (СК) (612_4),Штукатурка (713_10),Укладка плитки (250_10),Нравственность (СК) (622_4),Выполнение ремонтных работ (ОПТ) (8285_36),Высокая работоспособность (СК) (586_4),Коммуникабельность (СК) (617_4),Приготовление штукатурных растворов и смесей (448_10),Ремонт штукатурки (357_10),Трудолюбие (СК) (597_4),Выполнение штукатурки (456_10)
False,0.0,Рязанская область,1,False,20000.0,80000.0,18196.7213,11557.377,8469.9454,6816.9399,4562.8415,4330.6011,3278.6885,3251.3661,3032.7869,2868.8525,2841.5301,2814.2077,2281.4208,2226.776,2062.8415,1407.1038
False,0.0,Вологодская область,1,False,20000.0,50000.0,11372.9508,7223.3607,5293.7158,4260.5874,2851.776,2706.6257,2049.1803,2032.1038,1895.4918,1793.0328,1775.9563,1758.8798,1425.888,1391.735,1289.276,879.4399
False,0.0,Вологодская область,1,True,22500.0,22500.0,5117.8279,3250.5123,2382.1721,1917.2643,1283.2992,1217.9816,922.1311,914.4467,852.9713,806.8648,799.1803,791.4959,641.6496,626.2807,580.1742,395.748
False,0.0,Ямало-Ненецкий автономный округ,1,False,20000.0,80000.0,18196.7213,11557.377,8469.9454,6816.9399,4562.8415,4330.6011,3278.6885,3251.3661,3032.7869,2868.8525,2841.5301,2814.2077,2281.4208,2226.776,2062.8415,1407.1038
False,0.0,Республика Карелия,1,False,20000.0,36000.0,8188.5246,5200.8197,3811.4754,3067.623,2053.2787,1948.7705,1475.4098,1463.1148,1364.7541,1290.9836,1278.6885,1266.3934,1026.6393,1002.0492,928.2787,633.1967
False,0.0,Мурманская область,1,False,27850.0,70000.0,15922.1311,10112.7049,7411.2022,5964.8224,3992.4863,3789.276,2868.8525,2844.9454,2653.6885,2510.2459,2486.3388,2462.4317,1996.2432,1948.429,1804.9863,1231.2158
False,0.0,Псковская область,1,False,20000.0,45000.0,10235.6557,6501.0246,4764.3443,3834.5287,2566.5984,2435.9631,1844.2623,1828.8934,1705.9426,1613.7295,1598.3607,1582.9918,1283.2992,1252.5615,1160.3484,791.4959
False,0.0,Красноярский край,1,False,20000.0,80000.0,18196.7213,11557.377,8469.9454,6816.9399,4562.8415,4330.6011,3278.6885,3251.3661,3032.7869,2868.8525,2841.5301,2814.2077,2281.4208,2226.776,2062.8415,1407.1038
False,0.0,Астраханская область,1,False,20000.0,30000.0,6823.7705,4334.0164,3176.2295,2556.3525,1711.0656,1623.9754,1229.5082,1219.2623,1137.2951,1075.8197,1065.5738,1055.3279,855.5328,835.041,773.5656,527.6639
False,0.0,Республика Саха (Якутия),1,False,20000.0,70000.0,15922.1311,10112.7049,7411.2022,5964.8224,3992.4863,3789.276,2868.8525,2844.9454,2653.6885,2510.2459,2486.3388,2462.4317,1996.2432,1948.429,1804.9863,1231.2158
False,0.0,Республика Бурятия,1,False,20000.0,90000.0,20471.3115,13002.0492,9528.6885,7669.0574,5133.1967,4871.9262,3688.5246,3657.7869,3411.8852,3227.459,3196.7213,3165.9836,2566.5984,2505.123,2320.6967,1582.9918
False,0.0,Республика Калмыкия,1,False,18628.0,30000.0,6823.7705,4334.0164,3176.2295,2556.3525,1711.0656,1623.9754,1229.5082,1219.2623,1137.2951,1075.8197,1065.5738,1055.3279,855.5328,835.041,773.5656,527.6639
False,0.0,Республика Тыва,1,False,21000.0,40000.0,9098.3607,5778.6885,4234.9727,3408.4699,2281.4208,2165.3005,1639.3443,1625.6831,1516.3934,1434.4262,1420.765,1407.1038,1140.7104,1113.388,1031.4208,703.5519
