is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Выполнение ремонтных работ (ОПТ) (8285_36),Аккуратность (СК) (575_4),"Личные установки и ценности, мировоззрение (2043_4)",Командность (СК) (1371_4),"ЖКХс Монтаж, установка, замена/ремонт радиаторов отопления (8115_29)",ЖКХс Ремонт и обслуживание сантехнических и теплотехнических систем и  оборудования (6084_29),ЖКХс Ремонт и техническое обслуживание сантехнического и теплотехнического оборудования (6094_29),Склонность к здоровому образу жизни (СК) (1662_4),Коммуникабельность (СК) (617_4),ЖКХ фразы слишком широкой формулировки по монтажу сантехнических систем (2523_29)
False,0.0,Ленинградская область,1,False,12000.0,50626.0,14904.1406,10601.1709,4735.6705,3509.6847,3221.2175,2860.6334,2235.6211,2139.4653,2091.3875,1658.6866,1346.1804,1322.1415
False,0.0,Ленинградская область,1,True,16640.0,20000.0,5887.9392,4188.0342,1870.8452,1386.5147,1272.5546,1130.1045,883.1909,845.2042,826.2108,655.2707,531.8139,522.3172
False,0.0,Рязанская область,1,False,14196.5,62000.0,18252.6116,12982.906,5799.6201,4298.1956,3944.9193,3503.3238,2737.8917,2620.133,2561.2536,2031.339,1648.623,1619.1833
False,0.0,Рязанская область,1,True,18000.0,18000.0,5299.1453,3769.2308,1683.7607,1247.8632,1145.2991,1017.094,794.8718,760.6838,743.5897,589.7436,478.6325,470.0855
False,0.0,Забайкальский край,1,False,12000.0,55000.0,16191.8329,11517.094,5144.8243,3812.9155,3499.5252,3107.7873,2428.7749,2324.3115,2272.0798,1801.9943,1462.4881,1436.3723
False,0.0,Забайкальский край,1,True,20000.0,20000.0,5887.9392,4188.0342,1870.8452,1386.5147,1272.5546,1130.1045,883.1909,845.2042,826.2108,655.2707,531.8139,522.3172
False,0.0,Сахалинская область,1,False,14196.5,55000.0,16191.8329,11517.094,5144.8243,3812.9155,3499.5252,3107.7873,2428.7749,2324.3115,2272.0798,1801.9943,1462.4881,1436.3723
False,0.0,Сахалинская область,1,True,17220.0,17220.0,5069.5157,3605.8974,1610.7977,1193.7892,1095.6695,973.0199,760.4274,727.7208,711.3675,564.188,457.8917,449.7151
False,0.0,Амурская область,1,False,12000.0,49000.0,14425.4511,10260.6838,4583.5708,3396.9611,3117.7588,2768.7559,2163.8177,2070.7502,2024.2165,1605.4131,1302.944,1279.6771
False,0.0,Амурская область,1,True,19176.0,19176.0,5645.3561,4015.4872,1793.7664,1329.3903,1220.1254,1083.5442,846.8034,810.3818,792.1709,628.2735,509.9031,500.7977
False,0.0,Мурманская область,1,False,14196.5,53944.0,15880.9497,11295.9658,5046.0437,3739.7075,3432.3343,3048.1178,2382.1425,2279.6847,2228.4558,1767.396,1434.4084,1408.7939
False,0.0,Мурманская область,1,True,20000.0,20000.0,5887.9392,4188.0342,1870.8452,1386.5147,1272.5546,1130.1045,883.1909,845.2042,826.2108,655.2707,531.8139,522.3172
False,0.0,Калужская область,1,False,12000.0,33903.0,9980.9402,7099.3462,3171.3632,2350.3504,2157.1709,1915.6966,1497.141,1432.7479,1400.5513,1110.7821,901.5043,885.406
False,0.0,Калужская область,1,True,16640.0,16640.0,4898.7654,3484.4444,1556.5432,1153.5802,1058.7654,940.2469,734.8148,703.2099,687.4074,545.1852,442.4691,434.5679
False,0.0,Республика Хакасия,1,False,12000.0,33903.0,9980.9402,7099.3462,3171.3632,2350.3504,2157.1709,1915.6966,1497.141,1432.7479,1400.5513,1110.7821,901.5043,885.406
False,0.0,Ханты-Мансийский автономный округ — Югра,1,False,12000.0,66000.0,19430.1994,13820.5128,6173.7892,4575.4986,4199.4302,3729.3447,2914.5299,2789.1738,2726.4957,2162.3932,1754.9858,1723.6467
False,0.0,Ханты-Мансийский автономный округ — Югра,1,True,15150.0,15150.0,4460.114,3172.4359,1417.1652,1050.2849,963.9601,856.0541,669.0171,640.2422,625.8547,496.3675,402.849,395.6553
False,0.0,Приморский край,1,False,12000.0,70000.0,20607.7873,14658.1197,6547.9582,4852.8015,4453.9411,3955.3656,3091.1681,2958.2146,2891.7379,2293.4473,1861.3485,1828.1102
False,0.0,Приморский край,1,True,18000.0,18000.0,5299.1453,3769.2308,1683.7607,1247.8632,1145.2991,1017.094,794.8718,760.6838,743.5897,589.7436,478.6325,470.0855
False,0.0,Республика Коми,1,False,12000.0,37357.0,10997.7873,7822.6197,3494.4582,2589.8015,2376.9411,2110.8656,1649.6681,1578.7146,1543.2379,1223.9473,993.3485,975.6102
False,0.0,Республика Коми,1,True,14196.5,14196.5,4179.4065,2972.7714,1327.9727,984.1828,903.2911,802.1764,626.911,599.9471,586.4651,465.1275,377.4948,370.7538
False,0.0,Республика Калмыкия,1,False,12000.0,20000.0,5887.9392,4188.0342,1870.8452,1386.5147,1272.5546,1130.1045,883.1909,845.2042,826.2108,655.2707,531.8139,522.3172
False,0.0,Республика Бурятия,1,False,14196.5,45000.0,13247.8632,9423.0769,4209.4017,3119.6581,2863.2479,2542.735,1987.1795,1901.7094,1858.9744,1474.359,1196.5812,1175.2137
